"No.","Time","Source","Destination","Protocol","Length","Info"
"176","2.927811500","192.168.2.28","224.0.0.251","MDNS","127","Standard query 0x0000 PTR _companion-link._tcp.local, ""QU"" question PTR _rdlink._tcp.local, ""QU"" question PTR _hap._tcp.local, ""QU"" question PTR _hap._udp.local, ""QU"" question"
"177","3.027861600","192.168.2.27","192.168.2.1","DNS","85","Standard query 0xf39d A fd.api.iris.microsoft.com"
"178","3.028044800","192.168.2.27","192.168.2.1","DNS","85","Standard query 0x48d9 AAAA fd.api.iris.microsoft.com"
"179","3.032828100","fe80::1867:f335:a6dd:39f7","ff02::fb","MDNS","147","Standard query 0x0000 PTR _companion-link._tcp.local, ""QU"" question PTR _rdlink._tcp.local, ""QU"" question PTR _hap._tcp.local, ""QU"" question PTR _hap._udp.local, ""QU"" question"
"180","3.040314400","192.168.2.1","192.168.2.27","DNS","208","Standard query response 0xf39d A fd.api.iris.microsoft.com CNAME fd-api-iris.trafficmanager.net CNAME iris-de-prod-azsc-v2-eus2.eastus2.cloudapp.azure.com A 20.96.153.111"
"181","3.040314400","192.168.2.1","192.168.2.27","DNS","252","Standard query response 0x48d9 AAAA fd.api.iris.microsoft.com CNAME fd-api-iris.trafficmanager.net CNAME iris-de-prod-azsc-v2-eus2.eastus2.cloudapp.azure.com SOA ns1-06.azure-dns.com"
"182","3.043201900","192.168.2.27","20.96.153.111","TCP","66","55532  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM"
"183","3.043207900","192.168.2.27","20.96.153.111","TCP","66","55533  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM"
"184","3.068620100","20.96.153.111","192.168.2.27","TCP","66","443  >  55532 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1440 WS=256 SACK_PERM"
"185","3.068831500","192.168.2.27","20.96.153.111","TCP","54","55532  >  443 [ACK] Seq=1 Ack=1 Win=262144 Len=0"
"186","3.073471200","20.96.153.111","192.168.2.27","TCP","66","443  >  55533 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1440 WS=256 SACK_PERM"
"187","3.073610300","192.168.2.27","20.96.153.111","TCP","54","55533  >  443 [ACK] Seq=1 Ack=1 Win=262144 Len=0"
"188","3.076950600","192.168.2.27","20.96.153.111","TLSv1.2","533","Client Hello (SNI=fd.api.iris.microsoft.com)"
"189","3.077446500","192.168.2.27","20.96.153.111","TLSv1.2","533","Client Hello (SNI=fd.api.iris.microsoft.com)"
"190","3.107681400","20.96.153.111","192.168.2.27","TCP","1488","443  >  55532 [ACK] Seq=1 Ack=480 Win=261888 Len=1434 [TCP PDU reassembled in 195]"
"191","3.107681400","20.96.153.111","192.168.2.27","TCP","1488","443  >  55532 [ACK] Seq=1435 Ack=480 Win=261888 Len=1434 [TCP PDU reassembled in 195]"
"192","3.107681400","20.96.153.111","192.168.2.27","TCP","1488","443  >  55532 [ACK] Seq=2869 Ack=480 Win=261888 Len=1434 [TCP PDU reassembled in 195]"
"193","3.107681400","20.96.153.111","192.168.2.27","TCP","1488","443  >  55532 [ACK] Seq=4303 Ack=480 Win=261888 Len=1434 [TCP PDU reassembled in 195]"
"194","3.107681400","20.96.153.111","192.168.2.27","TCP","1488","443  >  55532 [ACK] Seq=5737 Ack=480 Win=261888 Len=1434 [TCP PDU reassembled in 195]"
"195","3.107681400","20.96.153.111","192.168.2.27","TLSv1.2","1256","Server Hello, Certificate, Certificate Status, Server Key Exchange, Server Hello Done"
"196","3.107847800","192.168.2.27","20.96.153.111","TCP","54","55532  >  443 [ACK] Seq=480 Ack=8373 Win=262144 Len=0"
"197","3.112763500","20.96.153.111","192.168.2.27","TCP","1488","443  >  55533 [ACK] Seq=1 Ack=480 Win=261888 Len=1434 [TCP PDU reassembled in 202]"
"198","3.112763500","20.96.153.111","192.168.2.27","TCP","1488","443  >  55533 [ACK] Seq=1435 Ack=480 Win=261888 Len=1434 [TCP PDU reassembled in 202]"
"199","3.112763500","20.96.153.111","192.168.2.27","TCP","1488","443  >  55533 [ACK] Seq=2869 Ack=480 Win=261888 Len=1434 [TCP PDU reassembled in 202]"
"200","3.112763500","20.96.153.111","192.168.2.27","TCP","1488","443  >  55533 [ACK] Seq=4303 Ack=480 Win=261888 Len=1434 [TCP PDU reassembled in 202]"
"201","3.112763500","20.96.153.111","192.168.2.27","TCP","1488","443  >  55533 [ACK] Seq=5737 Ack=480 Win=261888 Len=1434 [TCP PDU reassembled in 202]"
"202","3.112763500","20.96.153.111","192.168.2.27","TLSv1.2","1256","Server Hello, Certificate, Certificate Status, Server Key Exchange, Server Hello Done"
"203","3.112956000","192.168.2.27","20.96.153.111","TCP","54","55533  >  443 [ACK] Seq=480 Ack=8373 Win=262144 Len=0"
"204","3.126343300","192.168.2.27","20.96.153.111","TLSv1.2","212","Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message"
